geo_name,geo_sumlevel,geo_id,adult_smoking_2015,adult_smoking_2016,adult_smoking_2017,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017
"Kodiak Island Borough, AK","county",05000US02150,0.198,0.169,0.164,,,
"Lake and Peninsula Borough, AK","county",05000US02164,0.252,0.308,0.294,,,
"Matanuska-Susitna Borough, AK","county",05000US02170,0.262,0.212,0.172,4.8,5.5,6.3
"Nome Census Area, AK","county",05000US02180,0.401,0.353,0.328,,,
"North Slope Borough, AK","county",05000US02185,0.453,0.254,0.234,,,
"Northwest Arctic Borough, AK","county",05000US02188,0.482,0.352,0.307,,,
,,05000US02201,0.312,0.251,,,,
"Sitka City and Borough, AK","county",05000US02220,0.213,0.184,0.177,,,
,,05000US02232,0.227,0.213,,,,
"Southeast Fairbanks Census Area, AK","county",05000US02240,0.216,0.202,0.18,,,
"Valdez-Cordova Census Area, AK","county",05000US02261,0.232,0.191,0.188,,,
"Wade Hampton Census Area, AK","county",05000US02270,0.361,0.41,,24.2,32.5,
,,05000US02280,0.187,0.187,,,,
"Yakutat City and Borough, AK","county",05000US02282,,0.205,0.203,,,
"Yukon-Koyukuk Census Area, AK","county",05000US02290,0.405,0.323,0.315,,,
"Apache County, AZ","county",05000US04001,0.184,0.256,0.296,14.7,14.8,13.9
"Cochise County, AZ","county",05000US04003,0.217,0.16,0.165,5.3,5.7,5.4
"Coconino County, AZ","county",05000US04005,0.152,0.198,0.183,7.2,6.9,6
"Gila County, AZ","county",05000US04007,0.244,0.18,0.179,9.8,9.9,7
"Graham County, AZ","county",05000US04009,0.163,0.184,0.192,4.9,4.7,4.6
"Greenlee County, AZ","county",05000US04011,0.198,0.172,0.156,,,
"La Paz County, AZ","county",05000US04012,0.185,0.16,0.154,11.2,12.2,9.1
"Maricopa County, AZ","county",05000US04013,0.158,0.151,0.13,7,6.4,5.5
"Mohave County, AZ","county",05000US04015,0.269,0.2,0.188,8,7.5,5.6
"Navajo County, AZ","county",05000US04017,0.168,0.234,0.237,12.2,12.7,10.9
"Pima County, AZ","county",05000US04019,0.156,0.146,0.134,8.1,7.8,6.4
"Pinal County, AZ","county",05000US04021,0.173,0.17,0.16,6.2,5.9,5.3
"Santa Cruz County, AZ","county",05000US04023,0.173,0.154,0.159,4.9,4.4,3.3
"Yavapai County, AZ","county",05000US04025,0.193,0.147,0.144,4.8,4.7,4.2
"Yuma County, AZ","county",05000US04027,0.14,0.149,0.148,3.8,3.6,3.3
"Arkansas County, AR","county",05000US05001,0.22,0.224,0.205,9.6,12.9,11.4
"Ashley County, AR","county",05000US05003,0.299,0.244,0.211,8.5,8.6,6.7
"Baxter County, AR","county",05000US05005,0.239,0.201,0.19,,,3.5
"Benton County, AR","county",05000US05007,0.168,0.187,0.163,2.2,2.1,2
"Boone County, AR","county",05000US05009,0.146,0.217,0.192,7.5,4.9,5.8
"Bradley County, AR","county",05000US05011,0.141,0.25,0.225,,,
"Calhoun County, AR","county",05000US05013,0.35,0.223,0.21,,,
"Carroll County, AR","county",05000US05015,0.239,0.202,0.189,,,
"Chicot County, AR","county",05000US05017,0.362,0.266,0.234,17.2,17.8,
"Clark County, AR","county",05000US05019,0.119,0.232,0.199,12.3,12.1,8.8
"Clay County, AR","county",05000US05021,0.21,0.227,0.21,,,
"Cleburne County, AR","county",05000US05023,0.284,0.199,0.182,,,
"Cleveland County, AR","county",05000US05025,0.217,0.195,0.192,,,
"Columbia County, AR","county",05000US05027,0.159,0.237,0.205,8,7,6.5
"Conway County, AR","county",05000US05029,0.277,0.223,0.201,8.3,7.8,6.7
"Craighead County, AR","county",05000US05031,0.183,0.241,0.208,4.7,4.2,4.9
"Crawford County, AR","county",05000US05033,0.222,0.215,0.208,4.5,4.9,4.9
"Crittenden County, AR","county",05000US05035,0.236,0.261,0.235,12.7,13.3,12.5
"Cross County, AR","county",05000US05037,0.338,0.231,0.218,,9.1,10.5
