geo_name,geo_sumlevel,geo_id,adult_smoking_2015,adult_smoking_2016,adult_smoking_2017,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017
"LaPorte County, IN","county",05000US18091,0.266,0.196,0.203,4.2,4.4,4.4
"Lawrence County, IN","county",05000US18093,0.201,0.226,0.193,4.3,4.1,
"Madison County, IN","county",05000US18095,0.279,0.217,0.199,3.9,3.9,3.1
"Marion County, IN","county",05000US18097,0.242,0.221,0.209,12.3,12.2,13.2
"Marshall County, IN","county",05000US18099,0.21,0.215,0.179,,,
"Martin County, IN","county",05000US18101,0.175,0.209,0.177,,,
"Miami County, IN","county",05000US18103,0.311,0.233,0.197,,,
"Monroe County, IN","county",05000US18105,0.178,0.196,0.195,2.9,3,2.2
"Montgomery County, IN","county",05000US18107,0.232,0.208,0.175,,,
"Morgan County, IN","county",05000US18109,0.242,0.192,0.171,,,
"Newton County, IN","county",05000US18111,0.417,0.22,0.187,,,
"Noble County, IN","county",05000US18113,0.267,0.204,0.178,,,
"Ohio County, IN","county",05000US18115,0.284,0.187,0.156,,,
"Orange County, IN","county",05000US18117,0.282,0.214,0.2,,,
"Owen County, IN","county",05000US18119,0.32,0.216,0.2,,,
"Parke County, IN","county",05000US18121,0.3,0.224,0.199,,,
"Perry County, IN","county",05000US18123,0.245,0.197,0.187,,,
"Pike County, IN","county",05000US18125,0.184,0.194,0.171,,,
"Porter County, IN","county",05000US18127,0.214,0.19,0.155,2.3,2.2,2.6
"Posey County, IN","county",05000US18129,0.215,0.182,0.162,,,
"Pulaski County, IN","county",05000US18131,0.224,0.207,0.177,,,
"Putnam County, IN","county",05000US18133,0.244,0.195,0.186,,,
"Randolph County, IN","county",05000US18135,0.235,0.202,0.183,,,
"Ripley County, IN","county",05000US18137,0.265,0.195,0.166,,,
"Rush County, IN","county",05000US18139,0.219,0.202,0.189,,,
"St. Joseph County, IN","county",05000US18141,0.208,0.205,0.184,6,5.8,6.3
"Scott County, IN","county",05000US18143,0.246,0.225,0.195,7.1,7,7.8
"Shelby County, IN","county",05000US18145,0.27,0.21,0.171,4.4,4,
"Spencer County, IN","county",05000US18147,0.2,0.183,0.16,,,
"Starke County, IN","county",05000US18149,0.326,0.225,0.194,,,
"Steuben County, IN","county",05000US18151,0.217,0.2,0.165,,,
"Sullivan County, IN","county",05000US18153,0.25,0.218,0.204,,,
"Switzerland County, IN","county",05000US18155,0.292,0.225,0.205,,,
"Tippecanoe County, IN","county",05000US18157,0.147,0.207,0.186,1.4,1.5,1.8
"Tipton County, IN","county",05000US18159,0.254,0.183,0.158,,,
"Union County, IN","county",05000US18161,0.298,0.202,0.174,,,
"Vanderburgh County, IN","county",05000US18163,0.251,0.204,0.185,4,3.8,4
"Vermillion County, IN","county",05000US18165,0.247,0.196,0.167,,,
"Vigo County, IN","county",05000US18167,0.234,0.241,0.201,4.1,4.6,4.9
"Wabash County, IN","county",05000US18169,0.193,0.192,0.17,,,
"Warren County, IN","county",05000US18171,0.193,0.174,0.168,,,
"Warrick County, IN","county",05000US18173,0.137,0.17,0.162,,,
"Washington County, IN","county",05000US18175,0.371,0.212,0.192,,,
"Wayne County, IN","county",05000US18177,0.26,0.223,0.194,3.3,3.5,3.6
"Wells County, IN","county",05000US18179,0.205,0.188,0.171,,,
"White County, IN","county",05000US18181,0.217,0.19,0.158,,,
"Whitley County, IN","county",05000US18183,0.215,0.181,0.162,,,
"Adair County, IA","county",05000US19001,0.185,0.149,0.148,,,
"Adams County, IA","county",05000US19003,,0.158,0.151,,,
"Allamakee County, IA","county",05000US19005,0.171,0.164,0.155,,,
"Appanoose County, IA","county",05000US19007,0.276,0.174,0.172,,,
"Audubon County, IA","county",05000US19009,0.235,0.16,0.149,,,
"Benton County, IA","county",05000US19011,0.223,0.168,0.151,,,
"Black Hawk County, IA","county",05000US19013,0.206,0.17,0.168,2.5,2.7,3.6
"Boone County, IA","county",05000US19015,0.224,0.179,0.163,,,
"Bremer County, IA","county",05000US19017,0.136,0.153,0.149,,,
"Buchanan County, IA","county",05000US19019,0.18,0.157,0.154,,,
"Buena Vista County, IA","county",05000US19021,0.116,0.158,0.156,,,
"Butler County, IA","county",05000US19023,0.104,0.154,0.145,,,
"Calhoun County, IA","county",05000US19025,0.224,0.176,0.165,,,
"Carroll County, IA","county",05000US19027,0.213,0.164,0.155,,,
"Cass County, IA","county",05000US19029,0.154,0.17,0.168,,,
"Cedar County, IA","county",05000US19031,0.185,0.159,0.149,,,
"Cerro Gordo County, IA","county",05000US19033,0.179,0.173,0.164,,,
"Cherokee County, IA","county",05000US19035,0.097,0.154,0.155,,,
"Chickasaw County, IA","county",05000US19037,0.146,0.177,0.161,,,
"Clarke County, IA","county",05000US19039,0.327,0.191,0.173,,,
"Clay County, IA","county",05000US19041,0.201,0.154,0.157,,,
"Clayton County, IA","county",05000US19043,0.169,0.16,0.157,,,
"Clinton County, IA","county",05000US19045,0.275,0.18,0.169,,,
"Crawford County, IA","county",05000US19047,0.129,0.165,0.166,,,
"Dallas County, IA","county",05000US19049,0.116,0.159,0.148,,,
"Davis County, IA","county",05000US19051,0.234,0.195,0.188,,,
"Decatur County, IA","county",05000US19053,0.19,0.193,0.186,,,
"Delaware County, IA","county",05000US19055,0.203,0.159,0.161,,,
"Des Moines County, IA","county",05000US19057,0.208,0.189,0.187,,,3.5
"Dickinson County, IA","county",05000US19059,0.203,0.153,0.14,,,
"Dubuque County, IA","county",05000US19061,0.1,0.159,0.151,1.7,,
"Emmet County, IA","county",05000US19063,0.21,0.16,0.169,,,
"Fayette County, IA","county",05000US19065,0.21,0.167,0.175,,,
"Floyd County, IA","county",05000US19067,0.16,0.176,0.176,,,
"Franklin County, IA","county",05000US19069,0.188,0.167,0.159,,,
"Fremont County, IA","county",05000US19071,0.169,0.171,0.155,,,
"Greene County, IA","county",05000US19073,0.229,0.166,0.16,,,
"Grundy County, IA","county",05000US19075,0.111,0.15,0.144,,,
"Guthrie County, IA","county",05000US19077,0.09,0.163,0.162,,,
"Hamilton County, IA","county",05000US19079,0.225,0.163,0.16,,,
"Hancock County, IA","county",05000US19081,0.199,0.153,0.149,,,
"Hardin County, IA","county",05000US19083,0.202,0.154,0.152,,,
"Harrison County, IA","county",05000US19085,0.223,0.171,0.155,,,
"Henry County, IA","county",05000US19087,0.168,0.173,0.165,,,
"Howard County, IA","county",05000US19089,0.11,0.168,0.166,,,
"Humboldt County, IA","county",05000US19091,0.174,0.169,0.165,,,
"Ida County, IA","county",05000US19093,,0.168,0.158,,,
"Iowa County, IA","county",05000US19095,0.122,0.161,0.15,,,
"Jackson County, IA","county",05000US19097,0.105,0.167,0.157,,,
"Jasper County, IA","county",05000US19099,0.189,0.168,0.156,,,
"Jefferson County, IA","county",05000US19101,0.214,0.165,0.162,,,
"Johnson County, IA","county",05000US19103,0.135,0.165,0.169,2.3,2.3,
"Jones County, IA","county",05000US19105,0.217,0.158,0.154,,,
"Keokuk County, IA","county",05000US19107,0.238,0.17,0.168,,,
"Kossuth County, IA","county",05000US19109,0.155,0.149,0.152,,,
"Lee County, IA","county",05000US19111,0.207,0.181,0.186,,,
"Linn County, IA","county",05000US19113,0.161,0.161,0.166,1.9,2,2.3
"Louisa County, IA","county",05000US19115,0.23,0.168,0.157,,,
"Lucas County, IA","county",05000US19117,,0.174,0.159,,,
"Lyon County, IA","county",05000US19119,0.169,0.152,0.154,,,
"Madison County, IA","county",05000US19121,0.131,0.166,0.151,,,
"Mahaska County, IA","county",05000US19123,0.15,0.187,0.176,,,
"Marion County, IA","county",05000US19125,0.183,0.163,0.158,,,
"Marshall County, IA","county",05000US19127,0.222,0.171,0.162,,,
"Mills County, IA","county",05000US19129,0.281,0.165,0.17,,,
"Mitchell County, IA","county",05000US19131,0.146,0.153,0.147,,,
"Monona County, IA","county",05000US19133,0.17,0.168,0.165,,,
"Monroe County, IA","county",05000US19135,0.149,0.172,0.177,,,
"Montgomery County, IA","county",05000US19137,0.242,0.185,0.176,,,
"Muscatine County, IA","county",05000US19139,0.21,0.178,0.158,,,
"O'Brien County, IA","county",05000US19141,,0.162,0.148,,,
"Osceola County, IA","county",05000US19143,,0.155,0.151,,,
"Page County, IA","county",05000US19145,0.162,0.167,0.181,,,
"Palo Alto County, IA","county",05000US19147,,0.163,0.155,,,
"Plymouth County, IA","county",05000US19149,0.141,0.16,0.15,,,
"Pocahontas County, IA","county",05000US19151,0.2,0.168,0.171,,,
"Polk County, IA","county",05000US19153,0.176,0.185,0.154,2.4,2.5,2.6
"Pottawattamie County, IA","county",05000US19155,0.215,0.193,0.195,3.7,3.9,3.2
"Poweshiek County, IA","county",05000US19157,0.169,0.166,0.147,,,
"Ringgold County, IA","county",05000US19159,,0.169,0.152,,,
"Sac County, IA","county",05000US19161,0.21,0.149,0.145,,,
"Scott County, IA","county",05000US19163,0.175,0.178,0.166,3.2,2.8,2.7
"Shelby County, IA","county",05000US19165,0.205,0.164,0.154,,,
"Sioux County, IA","county",05000US19167,0.118,0.152,0.145,,,
"Story County, IA","county",05000US19169,0.107,0.167,0.155,2.2,2.5,
"Tama County, IA","county",05000US19171,0.179,0.175,0.174,,,
"Taylor County, IA","county",05000US19173,0.188,0.174,0.174,,,
"Union County, IA","county",05000US19175,0.15,0.18,0.166,,,
"Van Buren County, IA","county",05000US19177,,0.175,0.177,,,
"Wapello County, IA","county",05000US19179,0.212,0.209,0.191,,,4
"Warren County, IA","county",05000US19181,0.139,0.148,0.146,,,
"Washington County, IA","county",05000US19183,0.162,0.147,0.155,,,
"Wayne County, IA","county",05000US19185,0.198,0.168,0.168,,,
"Webster County, IA","county",05000US19187,0.198,0.2,0.171,,,
"Winnebago County, IA","county",05000US19189,0.096,0.16,0.151,,,
"Winneshiek County, IA","county",05000US19191,0.109,0.145,0.141,,,
"Woodbury County, IA","county",05000US19193,0.233,0.198,0.189,2.2,2,1.7
"Worth County, IA","county",05000US19195,0.17,0.167,0.161,,,
"Wright County, IA","county",05000US19197,0.167,0.162,0.161,,,
"Allen County, KS","county",05000US20001,0.19,0.174,0.188,,,
"Anderson County, KS","county",05000US20003,0.166,0.173,0.181,,,
"Atchison County, KS","county",05000US20005,0.236,0.193,0.177,,,
"Barber County, KS","county",05000US20007,0.22,0.169,0.17,,,
"Barton County, KS","county",05000US20009,0.169,0.176,0.185,,,
"Bourbon County, KS","county",05000US20011,0.192,0.191,0.197,,,
"Brown County, KS","county",05000US20013,0.207,0.193,0.203,,,
"Butler County, KS","county",05000US20015,0.169,0.167,0.168,,,
"Chase County, KS","county",05000US20017,0.201,0.164,0.163,,,
"Chautauqua County, KS","county",05000US20019,0.278,0.182,0.182,,,
"Cherokee County, KS","county",05000US20021,0.214,0.199,0.194,,,
"Cheyenne County, KS","county",05000US20023,,0.144,0.146,,,
"Clark County, KS","county",05000US20025,,0.177,0.175,,,
"Clay County, KS","county",05000US20027,0.179,0.149,0.158,,,
"Cloud County, KS","county",05000US20029,0.161,0.182,0.178,,,
"Coffey County, KS","county",05000US20031,0.161,0.155,0.161,,,
"Comanche County, KS","county",05000US20033,,0.14,0.143,,,
"Cowley County, KS","county",05000US20035,0.18,0.198,0.184,,,
"Crawford County, KS","county",05000US20037,0.209,0.203,0.191,,,3.6
"Decatur County, KS","county",05000US20039,0.194,0.171,0.157,,,
"Dickinson County, KS","county",05000US20041,0.197,0.175,0.178,,,
"Doniphan County, KS","county",05000US20043,0.167,0.168,0.181,,,
"Douglas County, KS","county",05000US20045,0.156,0.167,0.154,,,1.8
"Edwards County, KS","county",05000US20047,,0.161,0.165,,,
"Elk County, KS","county",05000US20049,0.159,0.167,0.165,,,
"Ellis County, KS","county",05000US20051,0.151,0.196,0.164,,,
"Ellsworth County, KS","county",05000US20053,0.124,0.172,0.158,,,
"Finney County, KS","county",05000US20055,0.209,0.182,0.172,4,,4.6
"Ford County, KS","county",05000US20057,0.17,0.185,0.178,,,4.6
"Franklin County, KS","county",05000US20059,0.219,0.179,0.194,,,
"Geary County, KS","county",05000US20061,0.255,0.203,0.22,6.5,7.1,6
"Gove County, KS","county",05000US20063,,0.149,0.156,,,
"Graham County, KS","county",05000US20065,0.172,0.154,0.156,,,
"Grant County, KS","county",05000US20067,0.164,0.178,0.159,,,
"Gray County, KS","county",05000US20069,0.137,0.155,0.153,,,
"Greeley County, KS","county",05000US20071,,0.154,0.148,,,
"Greenwood County, KS","county",05000US20073,0.214,0.188,0.168,,,
"Hamilton County, KS","county",05000US20075,,0.189,0.186,,,
"Harper County, KS","county",05000US20077,0.229,0.177,0.181,,,
"Harvey County, KS","county",05000US20079,0.1,0.157,0.147,,,
"Haskell County, KS","county",05000US20081,0.239,0.174,0.17,,,
"Hodgeman County, KS","county",05000US20083,,0.147,0.136,,,
"Jackson County, KS","county",05000US20085,0.269,0.16,0.163,,,
"Jefferson County, KS","county",05000US20087,0.186,0.156,0.165,,,
"Jewell County, KS","county",05000US20089,0.101,0.157,0.164,,,
"Johnson County, KS","county",05000US20091,0.126,0.125,0.11,1.6,1.7,1.7
"Kearny County, KS","county",05000US20093,0.177,0.166,0.164,,,
"Kingman County, KS","county",05000US20095,0.148,0.165,0.164,,,
"Kiowa County, KS","county",05000US20097,,0.177,0.171,,,
"Labette County, KS","county",05000US20099,0.212,0.202,0.203,,,
"Lane County, KS","county",05000US20101,,0.148,0.154,,,
"Leavenworth County, KS","county",05000US20103,0.183,0.182,0.18,3.4,3.7,3.7
"Lincoln County, KS","county",05000US20105,0.118,0.164,0.168,,,
"Linn County, KS","county",05000US20107,0.227,0.171,0.181,,,
"Logan County, KS","county",05000US20109,0.243,0.151,0.158,,,
"Lyon County, KS","county",05000US20111,0.155,0.205,0.172,,,
"McPherson County, KS","county",05000US20113,0.139,0.15,0.136,,,
"Marion County, KS","county",05000US20115,0.183,0.156,0.149,,,
"Marshall County, KS","county",05000US20117,0.191,0.168,0.165,,,
"Meade County, KS","county",05000US20119,0.215,0.15,0.152,,,
"Miami County, KS","county",05000US20121,0.147,0.161,0.169,,,
"Mitchell County, KS","county",05000US20123,0.142,0.149,0.15,,,
"Montgomery County, KS","county",05000US20125,0.229,0.196,0.202,5.1,4.8,4.1
"Morris County, KS","county",05000US20127,0.139,0.156,0.152,,,
"Morton County, KS","county",05000US20129,0.274,0.166,0.164,,,
"Nemaha County, KS","county",05000US20131,0.096,0.148,0.159,,,
"Neosho County, KS","county",05000US20133,0.169,0.189,0.19,,,
"Ness County, KS","county",05000US20135,0.245,0.163,0.159,,,
"Norton County, KS","county",05000US20137,0.21,0.172,0.172,,,
"Osage County, KS","county",05000US20139,0.249,0.167,0.185,,,
"Osborne County, KS","county",05000US20141,,0.161,0.162,,,
"Ottawa County, KS","county",05000US20143,0.116,0.163,0.147,,,
"Pawnee County, KS","county",05000US20145,0.216,0.172,0.173,,,
"Phillips County, KS","county",05000US20147,0.124,0.157,0.163,,,
"Pottawatomie County, KS","county",05000US20149,0.187,0.149,0.163,,,
"Pratt County, KS","county",05000US20151,0.178,0.158,0.157,,,
"Rawlins County, KS","county",05000US20153,,0.16,0.151,,,
"Reno County, KS","county",05000US20155,0.191,0.172,0.177,3.2,3.1,2.2
"Republic County, KS","county",05000US20157,0.174,0.164,0.164,,,
"Rice County, KS","county",05000US20159,0.157,0.168,0.169,,,
"Riley County, KS","county",05000US20161,0.156,0.171,0.156,,1.8,
"Rooks County, KS","county",05000US20163,0.216,0.166,0.172,,,
"Rush County, KS","county",05000US20165,0.284,0.161,0.164,,,
"Russell County, KS","county",05000US20167,0.191,0.171,0.174,,,
"Saline County, KS","county",05000US20169,0.179,0.183,0.175,5.2,5.3,5.4
"Scott County, KS","county",05000US20171,,0.164,0.153,,,
"Sedgwick County, KS","county",05000US20173,0.189,0.176,0.178,5.9,5.6,5
"Seward County, KS","county",05000US20175,0.108,0.18,0.186,,,
"Shawnee County, KS","county",05000US20177,0.188,0.203,0.19,8.8,8.7,8
"Sheridan County, KS","county",05000US20179,,0.165,0.164,,,
"Sherman County, KS","county",05000US20181,0.163,0.177,0.173,,,
"Smith County, KS","county",05000US20183,0.099,0.17,0.165,,,
"Stafford County, KS","county",05000US20185,0.277,0.17,0.181,,,
"Stanton County, KS","county",05000US20187,,0.165,0.154,,,
"Stevens County, KS","county",05000US20189,0.245,0.16,0.173,,,
"Sumner County, KS","county",05000US20191,0.207,0.159,0.162,,,
"Thomas County, KS","county",05000US20193,0.151,0.16,0.151,,,
"Trego County, KS","county",05000US20195,0.165,0.145,0.137,,,
"Wabaunsee County, KS","county",05000US20197,0.172,0.151,0.148,,,
"Wallace County, KS","county",05000US20199,,0.15,0.151,,,
"Washington County, KS","county",05000US20201,0.185,0.153,0.149,,,
"Wichita County, KS","county",05000US20203,0.144,0.166,0.176,,,
"Wilson County, KS","county",05000US20205,0.226,0.185,0.2,,,
"Woodson County, KS","county",05000US20207,0.242,0.186,0.188,,,
"Wyandotte County, KS","county",05000US20209,0.25,0.229,0.212,17.9,16.6,16.6
"Adair County, KY","county",05000US21001,0.34,0.237,0.237,,,
"Allen County, KY","county",05000US21003,0.31,0.252,0.219,,,
"Anderson County, KY","county",05000US21005,0.185,0.212,0.187,,,
"Ballard County, KY","county",05000US21007,0.312,0.216,0.212,,,
"Barren County, KY","county",05000US21009,0.264,0.235,0.224,3.9,3.6,
"Bath County, KY","county",05000US21011,0.321,0.274,0.243,,,
"Bell County, KY","county",05000US21013,0.264,0.295,0.294,4.7,4.6,
"Boone County, KY","county",05000US21015,0.178,0.174,0.166,2.5,2.3,2.1
"Bourbon County, KY","county",05000US21017,0.208,0.23,0.207,7.4,,
"Boyd County, KY","county",05000US21019,0.254,0.239,0.21,,,3.2
"Boyle County, KY","county",05000US21021,0.209,0.218,0.211,,,
"Bracken County, KY","county",05000US21023,0.326,0.219,0.225,,,
"Breathitt County, KY","county",05000US21025,0.306,0.291,0.294,,,
"Breckinridge County, KY","county",05000US21027,0.306,0.222,0.225,,,
"Bullitt County, KY","county",05000US21029,0.277,0.201,0.198,2.1,1.8,1.9
"Butler County, KY","county",05000US21031,0.175,0.259,0.24,,,
"Caldwell County, KY","county",05000US21033,0.304,0.217,0.212,,,
"Calloway County, KY","county",05000US21035,0.235,0.222,0.199,,,4.6
"Campbell County, KY","county",05000US21037,0.243,0.216,0.19,2.5,2.7,2
"Carlisle County, KY","county",05000US21039,,0.224,0.208,,,
"Carroll County, KY","county",05000US21041,0.447,0.265,0.231,,,
"Carter County, KY","county",05000US21043,0.334,0.235,0.237,8.2,7.3,6.8
"Casey County, KY","county",05000US21045,0.303,0.273,0.246,,,
"Christian County, KY","county",05000US21047,0.247,0.265,0.256,6.8,8,8.9
"Clark County, KY","county",05000US21049,0.402,0.234,0.209,6.6,7.1,5.6
"Clay County, KY","county",05000US21051,0.363,0.289,0.306,,,8.6
"Clinton County, KY","county",05000US21053,0.211,0.256,0.255,,,
"Crittenden County, KY","county",05000US21055,0.327,0.225,0.213,,,
"Cumberland County, KY","county",05000US21057,0.27,0.249,0.228,,,
"Daviess County, KY","county",05000US21059,0.241,0.207,0.198,3,2.6,
"Edmonson County, KY","county",05000US21061,0.298,0.213,0.222,,,
"Elliott County, KY","county",05000US21063,0.314,0.281,0.265,,,
"Estill County, KY","county",05000US21065,0.361,0.262,0.266,,,10.8
"Fayette County, KY","county",05000US21067,0.164,0.231,0.201,4.8,5.2,5.4
"Fleming County, KY","county",05000US21069,0.291,0.248,0.253,,,
"Floyd County, KY","county",05000US21071,0.288,0.29,0.257,6.9,7,5.2
"Franklin County, KY","county",05000US21073,0.278,0.212,0.206,3.9,4.2,3.7
"Fulton County, KY","county",05000US21075,0.3,0.259,0.256,,,
"Gallatin County, KY","county",05000US21077,0.451,0.243,0.234,,,
"Garrard County, KY","county",05000US21079,0.253,0.232,0.227,,,
"Grant County, KY","county",05000US21081,0.271,0.234,0.219,,,
"Graves County, KY","county",05000US21083,0.206,0.209,0.208,6.3,6.3,5.4
"Grayson County, KY","county",05000US21085,0.292,0.26,0.248,,,
"Green County, KY","county",05000US21087,0.307,0.235,0.218,,,
"Greenup County, KY","county",05000US21089,0.228,0.218,0.192,,,
"Hancock County, KY","county",05000US21091,0.201,0.219,0.208,,,
"Hardin County, KY","county",05000US21093,0.233,0.219,0.2,3.4,4,4.2
"Harlan County, KY","county",05000US21095,0.312,0.278,0.282,,,5
"Harrison County, KY","county",05000US21097,0.309,0.225,0.23,,,
"Hart County, KY","county",05000US21099,0.295,0.262,0.245,,,
"Henderson County, KY","county",05000US21101,0.231,0.246,0.217,4.6,4,
"Henry County, KY","county",05000US21103,0.288,0.243,0.21,,,
"Hickman County, KY","county",05000US21105,0.296,0.219,0.212,,,
"Hopkins County, KY","county",05000US21107,0.239,0.208,0.203,2.9,,
"Jackson County, KY","county",05000US21109,0.339,0.282,0.272,,,
"Jefferson County, KY","county",05000US21111,0.229,0.218,0.223,9.1,9,8.8
"Jessamine County, KY","county",05000US21113,0.271,0.233,0.208,,,2.9
"Johnson County, KY","county",05000US21115,0.27,0.259,0.229,6.4,,
"Kenton County, KY","county",05000US21117,0.27,0.219,0.199,3.4,3.2,3.4
"Knott County, KY","county",05000US21119,0.305,0.257,0.259,,,10.6
"Knox County, KY","county",05000US21121,0.297,0.285,0.278,5.1,5.1,6.3
"Larue County, KY","county",05000US21123,0.271,0.233,0.226,,,
"Laurel County, KY","county",05000US21125,0.297,0.24,0.21,5.3,5.1,5.5
"Lawrence County, KY","county",05000US21127,0.334,0.251,0.234,,,
"Lee County, KY","county",05000US21129,0.409,0.274,0.266,,,
"Leslie County, KY","county",05000US21131,0.396,0.262,0.245,,,
"Letcher County, KY","county",05000US21133,0.284,0.252,0.242,,,
"Lewis County, KY","county",05000US21135,0.334,0.297,0.256,,,
"Lincoln County, KY","county",05000US21137,0.314,0.266,0.242,,,5.8
"Livingston County, KY","county",05000US21139,0.303,0.219,0.212,,,
"Logan County, KY","county",05000US21141,0.28,0.235,0.229,,,
"Lyon County, KY","county",05000US21143,0.15,0.208,0.199,,,
"McCracken County, KY","county",05000US21145,0.229,0.198,0.217,5,4.7,4.4
"McCreary County, KY","county",05000US21147,0.401,0.333,0.331,,,
"McLean County, KY","county",05000US21149,0.247,0.235,0.217,,,
"Madison County, KY","county",05000US21151,0.219,0.238,0.226,3.8,4,4.7
"Magoffin County, KY","county",05000US21153,0.331,0.275,0.268,,,
"Marion County, KY","county",05000US21155,0.237,0.245,0.228,,,
"Marshall County, KY","county",05000US21157,0.254,0.193,0.183,,,
"Martin County, KY","county",05000US21159,0.374,0.293,0.29,,,
"Mason County, KY","county",05000US21161,0.254,0.235,0.228,,,
"Meade County, KY","county",05000US21163,0.373,0.253,0.23,,,
"Menifee County, KY","county",05000US21165,0.361,0.256,0.255,,,
"Mercer County, KY","county",05000US21167,0.235,0.216,0.214,,,
"Metcalfe County, KY","county",05000US21169,0.371,0.259,0.228,,,
"Monroe County, KY","county",05000US21171,0.246,0.255,0.236,,,
"Montgomery County, KY","county",05000US21173,0.254,0.253,0.238,7.6,6.5,
"Morgan County, KY","county",05000US21175,0.376,0.297,0.258,,,
"Muhlenberg County, KY","county",05000US21177,0.279,0.248,0.221,,,
"Nelson County, KY","county",05000US21179,0.298,0.233,0.217,,,
"Nicholas County, KY","county",05000US21181,0.298,0.223,0.236,,,
"Ohio County, KY","county",05000US21183,0.265,0.24,0.228,,,
"Oldham County, KY","county",05000US21185,0.143,0.182,0.172,,,
"Owen County, KY","county",05000US21187,0.335,0.214,0.222,,,
"Owsley County, KY","county",05000US21189,0.405,0.289,0.267,,,
"Pendleton County, KY","county",05000US21191,0.279,0.218,0.206,,,
"Perry County, KY","county",05000US21193,0.329,0.27,0.247,7.2,10.6,11.1
"Pike County, KY","county",05000US21195,0.309,0.264,0.242,5,4.1,4.5
"Powell County, KY","county",05000US21197,0.445,0.273,0.241,11,,
"Pulaski County, KY","county",05000US21199,0.273,0.25,0.235,2.9,3.2,3.6
"Robertson County, KY","county",05000US21201,0.326,0.235,0.217,,,
"Rockcastle County, KY","county",05000US21203,0.276,0.264,0.242,,,
"Rowan County, KY","county",05000US21205,0.251,0.244,0.228,,,
"Russell County, KY","county",05000US21207,0.309,0.243,0.241,,,
"Scott County, KY","county",05000US21209,0.152,0.211,0.19,,,
"Shelby County, KY","county",05000US21211,0.27,0.203,0.2,4.3,4.2,3.6
"Simpson County, KY","county",05000US21213,0.301,0.234,0.217,,,
"Spencer County, KY","county",05000US21215,0.321,0.188,0.189,,,
"Taylor County, KY","county",05000US21217,0.227,0.245,0.245,7.4,6.7,5.8
"Todd County, KY","county",05000US21219,0.285,0.236,0.233,,,
"Trigg County, KY","county",05000US21221,0.264,0.21,0.217,,,
"Trimble County, KY","county",05000US21223,,0.215,0.21,,,
"Union County, KY","county",05000US21225,0.209,0.264,0.258,,,
"Warren County, KY","county",05000US21227,0.254,0.23,0.204,2.8,2.7,3.2
"Washington County, KY","county",05000US21229,0.21,0.214,0.21,,,
"Wayne County, KY","county",05000US21231,0.289,0.25,0.26,,,
"Webster County, KY","county",05000US21233,0.273,0.219,0.221,,,
"Whitley County, KY","county",05000US21235,0.285,0.269,0.278,6,5.9,4.4
"Wolfe County, KY","county",05000US21237,0.375,0.301,0.302,,,
"Woodford County, KY","county",05000US21239,0.14,0.196,0.191,,,
"Acadia Parish, LA","county",05000US22001,0.236,0.227,0.213,6.7,7.6,8.5
"Allen Parish, LA","county",05000US22003,0.213,0.228,0.21,,,
"Ascension Parish, LA","county",05000US22005,0.194,0.188,0.179,4.4,4.4,5.2
"Assumption Parish, LA","county",05000US22007,0.2,0.214,0.192,6.8,,6.2
"Avoyelles Parish, LA","county",05000US22009,0.265,0.246,0.216,4.8,5.2,5.5
"Beauregard Parish, LA","county",05000US22011,0.258,0.224,0.2,5,5.8,4.4
"Bienville Parish, LA","county",05000US22013,0.259,0.244,0.222,,,
"Bossier Parish, LA","county",05000US22015,0.256,0.213,0.178,5.2,5.2,5.5
"Caddo Parish, LA","county",05000US22017,0.22,0.234,0.207,12.6,12.3,11.1
"Calcasieu Parish, LA","county",05000US22019,0.219,0.246,0.197,8.4,8.1,7
"Caldwell Parish, LA","county",05000US22021,0.287,0.231,0.214,,,
"Cameron Parish, LA","county",05000US22023,0.309,0.199,0.168,,,
"Catahoula Parish, LA","county",05000US22025,0.283,0.237,0.218,,,
"Claiborne Parish, LA","county",05000US22027,0.226,0.243,0.239,,,
"Concordia Parish, LA","county",05000US22029,0.225,0.266,0.232,14.6,13.5,11.8
"De Soto Parish, LA","county",05000US22031,0.284,0.235,0.222,9.5,8.5,7.4
"East Baton Rouge Parish, LA","county",05000US22033,0.17,0.195,0.157,17.1,17.3,17.8
"East Carroll Parish, LA","county",05000US22035,0.265,0.33,0.308,20.4,20.7,
"East Feliciana Parish, LA","county",05000US22037,0.211,0.228,0.2,10.3,13.1,10.7
"Evangeline Parish, LA","county",05000US22039,0.263,0.25,0.23,5.7,6.6,5.9
"Franklin Parish, LA","county",05000US22041,0.258,0.24,0.212,,7.7,9
"Grant Parish, LA","county",05000US22043,0.29,0.228,0.2,6.9,6.3,
"Iberia Parish, LA","county",05000US22045,0.201,0.222,0.187,8.4,8.5,8.9
"Iberville Parish, LA","county",05000US22047,0.164,0.237,0.209,11,8.7,9
"Jackson Parish, LA","county",05000US22049,0.193,0.24,0.212,,,
"Jefferson Parish, LA","county",05000US22051,0.208,0.191,0.186,17.2,16.7,14.5
"Jefferson Davis Parish, LA","county",05000US22053,0.28,0.219,0.21,12.1,12.7,10.4
"Lafayette Parish, LA","county",05000US22055,0.223,0.228,0.165,6.4,6.1,6
"Lafourche Parish, LA","county",05000US22057,0.226,0.204,0.188,5.6,5.7,4.6
"LaSalle Parish, LA","county",05000US22059,0.263,0.226,0.203,,,
