Candidate,Date,Location
Hillary Clinton,9-Nov-16,"New York City, New York"
Mitt Romney,11-Jul-12,"Houston, Texas"
Mitt Romney,24-Jul-12,"Reno, Nevada"
Mitt Romney,29-Jul-12,"Jerusalem, Israel"
Mitt Romney,31-Jul-12,"Warsaw, Poland"
Mitt Romney,11-Aug-12,"Norfolk, Virginia"
Mitt Romney,14-Aug-12,"Chillicothe, Ohio"
Mitt Romney,31-Aug-12,"Lakeland, Florida"
Mitt Romney,1-Sep-12,"Jacksonville, Florida"
Mitt Romney,1-Sep-12,"Cincinnati, Ohio"
Mitt Romney,6-Sep-12,"Concord, New Hampshire"
Mitt Romney,7-Sep-12,"Orange City, Iowa"
Mitt Romney,7-Sep-12,"Nashua, New Hampshire"
Mitt Romney,8-Sep-12,"Virginia Beach, Virginia"
Mitt Romney,10-Sep-12,"Mansfield, Ohio"
Mitt Romney,11-Sep-12,"Reno, Nevada"
Mitt Romney,12-Sep-12,"Jacksonville, Florida"
Mitt Romney,13-Sep-12,"Fairfax, Virginia"
Mitt Romney,14-Sep-12,"Painseville, Ohio"
Mitt Romney,14-Sep-12,Online
Mitt Romney,17-Sep-12,"Los Angeles, California"
Mitt Romney,20-Sep-12,"Sarasota, Florida"
Mitt Romney,21-Sep-12,"Las Vegas, Nevada"
Mitt Romney,23-Sep-12,"Denver, Colorado"
Mitt Romney,24-Sep-12,"Pueblo, Colorado"
Mitt Romney,25-Sep-12,"New York City, New York"
Mitt Romney,25-Sep-12,"New York City, New York"
Mitt Romney,25-Sep-12,"Vandalia, Ohio"
Mitt Romney,26-Sep-12,"Toledo, Ohio"
Mitt Romney,26-Sep-12,"Westerville, Ohio"
Mitt Romney,27-Sep-12,"Springfield, Virginia"
Mitt Romney,28-Sep-12,"Wayne, Pennsylvania"
Mitt Romney,1-Oct-12,"Denver, Colorado"
Mitt Romney,4-Oct-12,"Fishersville, Virginia"
Mitt Romney,4-Oct-12,"Denver, Colorado"
Mitt Romney,5-Oct-12,"St. Petersburg, Florida"
Mitt Romney,5-Oct-12,"Abingdon, Virginia"
Mitt Romney,6-Oct-12,"Apopka, Florida"
Mitt Romney,7-Oct-12,"Port St. Lucie, Florida"
Mitt Romney,8-Oct-12,"Lexington, Virginia"
